,source_id_lattes,target_id_lattes,academic_degree,start_year,conclusion_year,course,institution,thesis,major_area,area
463067,6532955603934459,10343376,mestrado,,2017,administração,universidade federal do rio de janeiro,casos de ativismo de investidores institucionais nas empresas de capital aberto brasileiras,ciencias sociais aplicadas,
1237587,5800126869436525,6798371766463812,doutorado,2001.0,2006,saúde coletiva,universidade estadual de campinas,incapacidade e previdência social trajetórias de incapacitação no contexto da reforma previdenciária brasileira,ciencias humanas,
995717,3969594492100690,3502790404185789,doutorado,2013.0,2014,direito,universidade de santa cruz do sul,a participação comunitária como requisito para assegurar o equilíbrio estado comunidade mercado análise comparativa da política energética brasileira e européia,ciencias sociais aplicadas,
1335158,7281746801238526,9808356704494780,mestrado,2005.0,2008,sociologia rural c grande,universidade federal da paraíba,concepção e conceitos sociológicos a opção pela concepção libertadora de educação,,
70772,2298424134477441,292372011481970,mestrado,2013.0,2015,desenvolvimento regional,universidade do contestado,instituto federal de educação ciência e tecnologia de santa catarina ifsc campus canoinhas uma análise da implantação e função social nodesenvolvimento do território da cidadania do planalto norte catarinense,,
1287644,6478475854489070,7719297842771995,doutorado,1996.0,2001,tecnologia de alimentos,universidade estadual de campinas,produção de um blend de suco de abacaxi ananas comosus clarificado e carbonatado,ciencias agrarias,ciência e tecnologia de alimentos
836958,3876347898308761,2371253833540208,mestrado,2014.0,2016,agricultura e ambiente,universidade federal de alagoas,caracterização da fração repetitiva no genoma de syagrus coronata mart becc arecaceae,,
1165656,7634063102292261,5001834460012280,doutorado,2006.0,2009,odontologia,universidade estadual paulista júlio de mesquita filho,papel das proteínas intracelulares nod e da proteína adaptadora myd88 na regulação da expressão de rankl e mna modulação da resposta inflamatória induzidos por antígenos bacterianos in vitro estudo em células relevantes do periodonto,ciencias da saude,
1040610,3862323454964593,8615210165242838,mestrado,,2008,administração,fundação getúlio vargas,arranjos produtivos análise da experiência do setor oleiro cerâmico de iranduba,,
41149,8153251759013453,169688231147651,mestrado,2015.0,2017,ciências farmacêuticas,universidade federal de ouro preto,classificação biofarmacêutica do cloridrato de fexofenadina e avaliação das condições para estudos de dissolução da suspensão oral,ciencias da saude,
